date,open,high,low,close,Volume BTC,Volume USDT
8/31/2017 8:00,4592.16,4615,4578,4586.51,24.19,111161.56
8/31/2017 9:00,4586.51,4613.6,4572.64,4583.02,22.89,105133.38
8/31/2017 10:00,4583.02,4678.57,4583.02,4632.96,32.41,149775.77
8/31/2017 11:00,4632.96,4675,4631.41,4656.67,31.49,146403.7
8/31/2017 12:00,4656.67,4674.97,4631.41,4673.87,42.52,198270.57
8/31/2017 13:00,4673.87,4685.55,4632.87,4685.55,24.57,114588.57
8/31/2017 14:00,4685.55,4685.55,4649.69,4685.55,20.19,94256.66
8/31/2017 15:00,4685.55,4685.55,4648.82,4648.82,18.5,86351
8/31/2017 16:00,4648.82,4685.56,4638.98,4684.98,16.25,75889.16
8/31/2017 17:00,4684.98,4684.98,4638.98,4650.55,7.12,33234.73
8/31/2017 18:00,4650.55,4717.45,4650.55,4700.13,17.16,80496.57
8/31/2017 19:00,4700.13,4745.42,4678.78,4698.77,24.88,116909.06
8/31/2017 20:00,4698.77,4717.42,4673.1,4673.14,13.15,61790.6
8/31/2017 21:00,4673.14,4724.71,4666.84,4724.71,16.69,78339.7
8/31/2017 22:00,4724.71,4724.71,4666.84,4697,16.34,76625.96
8/31/2017 23:00,4697,4724.89,4683.36,4724.89,11.49,53979.86
9/1/2017 0:00,4724.89,4745.35,4689.89,4721.05,15.71,74145.74
9/1/2017 1:00,4721.05,4766.99,4701.11,4725,28.11,133018.25
9/1/2017 2:00,4725,4767,4723,4735.96,15.14,71825.62
9/1/2017 3:00,4735.96,4767,4713.67,4714.73,16.68,78802.11
9/1/2017 4:00,4714.73,4734.99,4672,4672,40.66,191299.4
